TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΑΛΓΟΣ,ἄλγος,αλγος,ἄλγος –ους τό,pain,3,,,,Noun,The Senses and Feelings,,,,,4,,,,,,,,,
ΑΛΕΞΑΝΔΡΟΣ,ἀλέξανδρος,Αλεξανδρος,ἀλέξανδρος –ον,defender,2,,,,Adjective,War and Peace,,,,,,,,,,,,,,
ΑΛΙΣ,ἄλις,αλις,ἄλις,enough,,,,,Adverb,,,,,,,,,,,,,,33,
ΑΛΚΗ,ἀλκή,Αλκη,ἀλκή –ής ἡ,strength,1,,,,Noun,,,,,,4,,,,,,,,,
,ἀλλὰ-μήν,αλλα-μην,ἀλλὰ-μήν,but yet,,1,,,Idiom,,,,,,,,,,,32,,,,
ΑΛΛΑΤΤΩ,ἀλλάττω,Αλλαττω,ἀλλάττω ἀλλάξω ἅλλαξα ἅλλακα ἅλλαγμαι ἀλλάχθην,"alter, change",,,,,Verb,,,,,,,,,,,6,,,41,
ΑΛΛΑΧΟΘΕΝ,ἀλλαχόθεν,αλλαχοθεν,ἀλλαχόθεν,from elsewhere,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΛΛΑΧΟΣΕ,ἀλλαχόσε,αλλαχοσε,ἀλλαχόσε,in another direction,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΛΛΑΧΟΥ,ἀλλαχοῦ,αλλαχου,ἀλλαχοῦ,elsewhere,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΛΛΟΘΕΝ,ἄλλοθεν,αλλοθεν,ἄλλοθεν,from elsewhere,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΛΛΟΘΙ,ἄλλοθι,αλλοθι,ἄλλοθι,in/at another place,,,,,Adverb,,,,,,,,,,,49,,,36,
ΑΛΛΟΙ-ΑΛΛΟΣΕ,ἄλλοι-ἄλλοςε,αλλοι-αλλοςε,ἄλλοι...ἄλλοςε,some to some places...others to other places,,1,,,Idiom,,,,,,,,,,,,,,,
,οἱ-ἄλλοι,οι-αλλοι,οἱ-ἄλλοι,"the others, the rest",,1,,,Idiom,,,,,,,,,,,22,,,,
ΑΛΛΟΙΟΣ,ἀλλοῖος,αλλοιος,ἀλλοῖος –α –ον,of another kind,1,,,,Adjective,,,,,,,,,,,,,,36,
ΑΛΛΟΜΑΙ,ἅλλομαι,,ἅλλομαι,"leap, spring",,,,,Verb,,,,,,4,,,,,,,,,
ΑΛΛΟΣΕ,ἄλλοσε,αλλοσε,ἄλλοσε,to another place; to other places,,,,,Adverb,,,,,,,,,,,49,,,36,
ΑΛΛΟΤΡΙΟΣ,ἀλλότριος,Αλλοτριος,ἀλλότριος –α –ον,belonging to another,1,,,,Adjective,,,,,,,,,,,,,,40,9
ΑΛΟΓΟΣ,ἄλογος,αλογος,ἄλογος –ον,"irrational, mad",2,,,,Adjective,The Senses and Feelings,,,,,,,1,1,1,,9,2.a,,
ΑΛΟΧΟΣ,ἄλοχος,αλοχος,ἄλοχος –ου ἡ,"spouse, bed-mate",2,,,,Noun,"Family, Friendship, and the Home",,,,,3,,,,,,,,,
ΑΛΣ,ἅλς,Αλς,ἅλς ἁλός ὁ,salt (m.) sea (f.),3,,,,Noun,Natural World,,,,,3,,,,,,,,15,
