TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΚΥΑΘΙΣΚΟΣ,κυαθίσκος,,κυαθίσκος,spoon-shaped end,spoon-shaped end,spoon-shaped end,,,,,,http://logeion.uchicago.edu/index.html#κυαθίσκος
ΚΥΑΘΟΣ,κύαθος,,κύαθος,a cup,a cup,a cup,,,,,,http://logeion.uchicago.edu/index.html#κύαθος
ΚΥΑΘΟΤΗΣ,κυαθότης,,κυαθότης,cuphood,cuphood,cuphood,,,,,,http://logeion.uchicago.edu/index.html#κυαθότης
ΚΥΑΘΩΔΗΣ,κυαθώδης,,κυαθώδης,like a cup,like a cup,like a cup,,,,,,http://logeion.uchicago.edu/index.html#κυαθώδης
ΚΥΑΜΕΥΤΟΣ,κυαμευτός,,κυαμευτός,chosen by beans,chosen by beans,chosen by beans,,,,,,http://logeion.uchicago.edu/index.html#κυαμευτός
ΚΥΑΜΕΥΩ,κυαμεύω,,κυαμεύω,to be so elected,to be so elected,to be so elected,,,,,,http://logeion.uchicago.edu/index.html#κυαμεύω
ΚΥΑΜΙΑΙΟΣ,κυαμιαῖος,,κυαμιαῖος,of the size of a bean,of the size of a bean,of the size of a bean,,,,,,http://logeion.uchicago.edu/index.html#κυαμιαῖος
ΚΥΑΜΙΑΣ,κυαμίας,,κυαμίας,precious stone like a bean,precious stone like a bean,precious stone like a bean,,,,,,http://logeion.uchicago.edu/index.html#κυαμίας
ΚΥΑΜΙΔΕΣ,κυαμίδες,,κυαμίδες,fabacia,fabacia,fabacia,,,,,,http://logeion.uchicago.edu/index.html#κυαμίδες
ΚΥΑΜΙΖΩ,κυαμίζω,,κυαμίζω,to be ripe for marriage,to be ripe for marriage,to be ripe for marriage,,,,,,http://logeion.uchicago.edu/index.html#κυαμίζω
ΚΥΑΜΙΝΟΣ,κυάμινος,,κυάμινος,of beans,of beans,of beans,,,,,,http://logeion.uchicago.edu/index.html#κυάμινος
ΚΥΑΜΙΤΙΣ,κυαμῖτις,,κυαμῖτις,bean-market,bean-market,bean-market,,,,,,http://logeion.uchicago.edu/index.html#κυαμῖτις
ΚΥΑΜΟΒΟΛΟΣ,κυαμόβολος,,κυαμόβολος,chosen by beans,chosen by beans,chosen by beans,,,,,,http://logeion.uchicago.edu/index.html#κυαμόβολος
ΚΥΑΜΟΣ,κύαμος,,κύαμος,a bean,a bean,a bean,,,,,,http://logeion.uchicago.edu/index.html#κύαμος
ΚΥΑΜΟΣΩΡΟΣ,Κυαμόσωρος,,Κυαμόσωρος,Cyamosorus,Cyamosorus,Cyamosorus,,,,,,http://logeion.uchicago.edu/index.html#Κυαμόσωρος
ΚΥΑΜΟΤΡΩΞ,κυαμοτρώξ,,κυαμοτρώξ,bean-eater,bean-eater,bean-eater,,,,,,http://logeion.uchicago.edu/index.html#κυαμοτρώξ
