word_id,TITLE,By Roman Hands: Inscriptions & Graffiti for Students of Latin (Hartnett)
16124,SVPERSTO,130
16126,SVPERVS,62
16155,SVRGO,77
16178,SVSTINEO,95
484,SVVS,"39, 39, 47, 53, 53, 125, 137, 137"
16245,TACEO,54
16249,TACITVS,126
486,TAEDIVM,95
487,TALIS,85
488,TAM,"23, 43"
489,TAMEN,"81, 135"
16292,TANTO,104
16360,TEGO,"68, 115"
16371,TELEPHVS/N,32
494,TEMPVS/1,"13, 108, 142"
16404,TENDO,120
495,TENEBRAE,"41, 45"
496,TENEO,"5, 11, 43, 44, 45, 50, 119"
16459,TERRA,"6, 6, 11, 21, 39, 39, 73, 83, 102, 109, 110, 137, 142"
16476,TERTIVS,"58, 102"
16560,THERMAE,"81, 81"
16610,THRAX,"32, 53"
498,TIMEO,54
16714,TITVLVS,"78, 92, 101, 117"
16716,TITVS/N,"15, 81, 129"
16731,TOGATVS,81
499,TOLLO,66
16777,TORREO,131
16788,TOT,95
16814,TRAHO,41
16815,TRAIANVS/N,81
16827,TRANSCVRRO,44
16879,TREDECIM,33
16892,TRES,"40, 83, 101, 125"
16921,TRICLINIVM,40
16938,TRIGINTA,"83, 130"
16980,TRIVMPHO,82
507,TV,"8, 14, 25, 26, 27, 27, 44, 54, 61, 64, 71, 73, 73, 86, 92, 95, 109, 110, 112, 113, 113, 122, 122, 126, 128, 135, 135, 141"
508,TVM,39
17051,TVMVLVS,"68, 98"
511,TVVS,"70, 94, 107, 125, 142"
17110,TYCHE/N,101
517,VBI/1,"28, 121"
17162,VLLVS,"67, 130"
17167,VLTER,97
17176,VLVLA,10
17184,VMBRA,127
17202,VNA,29
17214,VNDE/1,132
17223,VNDEVIGINTI,100
17245,VNVS,"35, 68, 87, 134"
17249,VRBANVS,47
17256,VRINA,103
559,VRO,139
17261,VRSVS,81
17269,VSQVE,"98, 102"
560,VT/4,"54, 73, 116, 117, 118, 120, 122, 123, 124, 125, 126, 129, 130, 140"
17280,VTER/1,115
17284,VTILIS,97
17286,VTINAM,"114, 115"
561,VTOR,"118, 120"
17339,VALEO,"104, 112"
513,VANVS,57
515,VARIVS,35
17418,VEHO,42
17447,VELVM,18
17455,VENATIO,18
17484,VENETVS,54
522,VENIO,"77, 125, 135"
524,VENVS/N,"12, 12, 140"
17540,VERNA,68
17560,VERSICVLVS,133
17598,VESPASIANVS/N,"15, 15"
17617,VETERANVS/2,53
17626,VETO,"104, 138"
533,VIA,"88, 134"
17641,VIATOR,"73, 113, 117, 135"
17646,VIBIVS/N,"47, 89"
17656,VICIENS,83
24446,VICTOR/N,"16, 82"
17669,VICTORIA,29
534,VIDEO,140
17696,VIGINTI,"53, 66"
537,VINVM,"12, 12"
17743,VIOLO,"106, 122, 127, 139"
538,VIR,"3, 10, 87"
543,VIRTVS,"75, 123, 141"
17775,VIS,101
17783,VISO,116
544,VITA,"8, 12, 17, 36, 37, 44, 57, 63, 65, 96, 108, 132, 142"
546,VITIVM,37
17800,VITREVS,81
547,VIVO,"13, 35, 53, 54, 60, 61, 61, 62, 63, 66, 85, 94, 94, 100, 101, 112, 116, 119, 130, 132"
548,VIVVS/2,"79, 121"
17829,VOCITO,46
554,VOLO/3,122
557,VOLVO,121
17881,VOVEO,"64, 82, 83"
17882,VOX,22
17937,ZOTICVS/N,57
