TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΑΡΑΣΣΩ,ἀράσσω,,ἀράσσω ἀράξω ἤραξα ––– ––– ἠράχθην,"to strike hard, smite","to strike hard, smite","to strike hard, smite",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀράσσω
ΑΡΓΥΡΟΣ,ἄργυρος,αργυρος,ἄργυρος –ου ὁ,silver,silver,silver,2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄργυρος
ΑΡΔΗΝ,ἄρδην,,ἄρδην,"lifted up, on high","lifted up, on high","lifted up, on high",,,,,Adverb,http://logeion.uchicago.edu/index.html#ἄρδην
ΑΡΗΓΩ,ἀρήγω,,ἀρήγω ἀρήξω ἤρηξα ––– ––– –––,"to help, aid, succour","to help, aid, succour","to help, aid, succour",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀρήγω
ΑΡΗΣ,Ἄρης,,Ἄρης –εως ὁ,Ares,Ares,Ares,3,,,1,Noun,http://logeion.uchicago.edu/index.html#Ἄρης
ΑΡΙΘΜΟΣ,ἀριθμός,Αριθμος,ἀριθμός –οῦ ὁ,"number, amount",number,number,2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀριθμός
ΑΡΙΣΤΕΥΩ,ἀριστεύω,,ἀριστεύω ἀριστεύσω ἠρίστευσα ––– ––– –––,to be best,to be best,to be best,,,,,Verb,http://logeion.uchicago.edu/index.html#ἀριστεύω
ΑΡΚΕΩ,ἀρκέω,Αρκεω,ἀρκέω ἀρκέσω ἤρκεσα ––– ––– –––,"ward off, defend, suffice",to ward off; to be sufficient,to ward off; to be sufficient,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀρκέω
ΑΡΜΑ,ἅρμα,Αρμα,ἅρμα –ατος τό,chariot,a chariot,a chariot,3,,,,Noun,http://logeion.uchicago.edu/index.html#ἅρμα
ΑΡΜΟΝΙΑ,ἁρμονία,Αρμονια,ἁρμονία –ας ἡ,harmony,a fastening,a fastening,1,,,,Noun,http://logeion.uchicago.edu/index.html#ἁρμονία
ΑΡΝΕΟΜΑΙ,ἀρνέομαι,,ἀρνέομαι ἀρνήσομαι ἠρνησάμην ἤρνημαι ἠρνήθην,"to deny, disown","to deny, disown","to deny, disown",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀρνέομαι
ΑΡΡΗΚΤΟΣ,ἄρρηκτος,,ἄρρηκτος –ον,"unbroken, not to be broken","unbroken, not to be broken","unbroken, not to be broken",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄρρηκτος
ΑΡΧΑΙΟΣ,ἀρχαῖος,Αρχαιος,ἀρχαῖος –α –ον,"ancient, old-fashioned, primitive",from the beginning,from the beginning,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀρχαῖος
